Original Size,Sigma,Converted Size
5,2,18
5,2,60
5,2,60
5,2,126
5,2,320
5,2,156
5,2,197
5,2,24
6,2,300
6,2,344
6,2,111
6,2,63
6,2,344
7,2,32
7,2,171
7,2,174
8,2,725
8,2,542
9,2,127
9,2,351
10,2,1197
10,2,690
10,2,160
10,2,440
11,2,436
11,2,139
11,2,152
12,2,1870
12,2,1524
12,2,52
13,2,638
13,2,2014
13,2,2901
13,2,661
14,2,232
14,2,2237
14,2,2622
14,2,62
5,3,392
5,3,380
5,3,411
6,3,163
6,3,432
7,3,548
7,3,985
7,3,634
8,3,158
8,3,468
9,3,1175
9,3,1159
9,3,1323
9,3,314
9,3,1040
9,3,2130
10,3,2071
11,3,122
11,3,77
11,3,3465
11,3,1686
11,3,2347
12,3,2854
13,3,3180
13,3,3903
13,3,3006
13,3,3321
13,3,1866
14,3,6009
5,4,489
5,4,214
6,4,216
6,4,627
6,4,669
6,4,703
7,4,154
7,4,109
8,4,1518
8,4,1080
8,4,1174
8,4,1013
9,4,1674
9,4,272
9,4,81
9,4,1689
10,4,2479
10,4,3154
10,4,243
10,4,159
11,4,2710
11,4,2962
12,4,200
12,4,3442
12,4,356
12,4,1237
12,4,2872
12,4,3991
13,4,5905
13,4,4203
14,4,4720
14,4,8032
14,4,666
